analysis,horizon,window,basis,n_periods,n_permnos,pct_positive,mean,median,min,max,avg_realized_months,pct_complete,pct_delisted,pct_sample_end,pct_sparse,p1,p5,p10,p25,p50,p75,p90,p95,p99
calendar_window,10y,1975-1985,nominal,5073,5073,0.8777843485117287,5.77084729686643,2.9547229312739294,-1.0,158.78485709051625,92.85412970628819,0.5610092647348709,0.4389907352651291,0.0,0.0003942440370589395,-0.8842138121389124,-0.5416882712642108,-0.12350150975775406,0.8571424576609561,2.9547229312739294,6.546467450938749,12.619893616720848,20.33080036412631,52.12173359306527
calendar_window,10y,1975-1985,real (CPI-adj),5073,5073,0.7969643209146462,2.6936616605537007,1.3330588078076984,-1.0,80.13503722345533,92.85412970628819,0.5610092647348709,0.4389907352651291,0.0,0.0003942440370589395,-0.9332245149218767,-0.7344840119149016,-0.491038627149024,0.19132579184258192,1.3330588078076984,3.1727739735290568,6.062783208986404,10.163972572539889,25.97398183362421
calendar_window,10y,1985-1995,nominal,6298,6298,0.5747856462369006,1.1771509780102902,0.24683606147362236,-1.0,141.59409515088285,78.70419180692284,0.4536360749444268,0.5463639250555732,0.0,0.00031756113051762465,-0.9902597429198404,-0.9600477038950201,-0.9109884525612654,-0.583287030853845,0.24683606147362236,1.6196955125962047,3.543327349047234,5.552882364993012,14.64296496630185
calendar_window,10y,1985-1995,real (CPI-adj),6298,6298,0.5209590346141633,0.6524130042822447,0.06617099075115473,-1.0,100.53442736150815,78.70419180692284,0.4536360749444268,0.5463639250555732,0.0,0.00031756113051762465,-0.99227527917277,-0.9680342144569051,-0.927685282605396,-0.6551970803147562,0.06617099075115473,1.019365107292681,2.3125062083660333,3.6879381559909064,10.13860632453936
calendar_window,10y,1995-2005,nominal,7835,7835,0.608423739629866,1.2475921834599106,0.37500411274846446,-0.99998542854994,228.2658375927438,74.61238034460753,0.383535417996171,0.6164645820038289,0.0,0.0,-0.9922668295384512,-0.9672832128649498,-0.9191440356093966,-0.5397382212198056,0.37500411274846446,1.6184502653275104,3.742763218349764,6.188891250619218,15.12559035827534
calendar_window,10y,1995-2005,real (CPI-adj),7835,7835,0.568602425015954,0.8607661358728265,0.2108571338180265,-0.9999878637135963,177.82269344759257,74.61238034460753,0.383535417996171,0.6164645820038289,0.0,0.0,-0.993149530117569,-0.9717385579090211,-0.9299932424112758,-0.6035311045861774,0.2108571338180265,1.2151739973433802,2.8078398576273793,4.670999411844433,11.892170631724195
calendar_window,10y,2005-2015,nominal,5830,5830,0.5545454545454546,0.5783148393421285,0.12037129493474041,-0.9999999617885608,89.60033714996038,82.89090909090909,0.4941680960548885,0.5058319039451115,0.0,0.00034305317324185246,-0.9960262275975866,-0.9763611829548104,-0.9327660305925191,-0.5899891645712757,0.12037129493474041,0.926894604196733,2.267404389428945,3.5623856203691,8.608865359231189
calendar_window,10y,2005-2015,real (CPI-adj),5830,5830,0.507032590051458,0.35408030240129956,0.007832483129290413,-0.9999999682062732,73.83796999417491,82.89090909090909,0.4941680960548885,0.5058319039451115,0.0,0.00034305317324185246,-0.9966585528059575,-0.9796774367741206,-0.9409630157443485,-0.65091078261949,0.007832483129290413,0.6570358068106346,1.7704846255313935,2.816015988906508,6.9950309806434685
calendar_window,10y,2015-2025,nominal,4836,4836,0.6217948717948718,1.3401518189129515,0.3872725031457662,-1.0,230.94641951336789,87.89888337468983,0.543631100082713,0.456368899917287,0.0,0.0,-0.9999690107118996,-0.9905922614542515,-0.9404628790072631,-0.4442821643789618,0.3872725031457662,1.5720327532332152,3.8098476201004505,6.232260990722879,16.104405570701825
calendar_window,10y,2015-2025,real (CPI-adj),4836,4836,0.5676178660049628,0.8024877739612554,0.17578306299131152,-1.0,168.2962496232089,87.89888337468983,0.543631100082713,0.456368899917287,0.0,0.0,-0.999975592787146,-0.9925534474612415,-0.9518556838236965,-0.5663225846262111,0.17578306299131152,0.9796180873667342,2.606110689881217,4.387627087314522,11.684321936432342
