PERMNO,first_ymm,last_ymm,n_months,fulllife_nominal,fulllife_real
10192,198604,200106,183,4.244693129415198,2.2057450139346853
10193,198604,199407,100,-0.8281246556798867,-0.8739889658892972
10194,198604,200009,174,3.262374701540118,1.6698121331466065
10195,198604,200308,209,16.663444103260694,9.410523935182907
10196,192512,196712,505,-0.9457762205106712,-0.9712086126605334
10197,197212,197301,2,-0.26415031698100006,-0.26760501032850736
10198,198604,199109,66,-0.8367347867335703,-0.8705302098878459
10199,198604,199803,144,8.917047264542557,5.652125415426826
10200,198604,202512,477,13.484840465481264,3.8632346542377576
10201,201007,202104,130,-0.6055565166505926,-0.6780618382489922
10202,198604,198807,28,-0.048693972762400055,-0.12656459271349474
10203,198604,199308,89,-0.8663647383419345,-0.899588974665763
10204,198605,198704,12,-0.880000187142506,-0.8843657526501878
10205,198605,201011,295,1.079734571263077,0.03224898396809125
10206,198605,199004,48,-0.9199999278994471,-0.9325988531410392
10208,198605,199204,72,-0.946428536580146,-0.9582949037462642
10209,192512,196309,454,9.981911109917883,5.438905536759662
10210,198605,199110,66,-0.9786931851044287,-0.9831592423751162
10211,198605,200602,238,10.056609730214035,5.043018705089298
10212,198605,199605,121,0.18292333041421094,-0.1796585333142826
10213,198605,199611,127,9.865326286736593,6.439939689404745
10214,198605,199712,140,-0.2270268605134736,-0.47957295134385064
10215,198605,198707,15,-0.5918369421471377,-0.6104876266887449
10216,198605,200104,180,-0.9988141126458104,-0.9992719764462127
10217,192512,196912,529,8.610940664056494,3.588778035889052
10218,198010,199902,221,-0.8194452194897323,-0.9078018142075227
10219,198605,198704,12,-0.4754096757207055,-0.49449415069448643
10220,201008,202512,185,11.264627352905993,7.251167008691093
10221,198605,198805,25,-0.9836065115579612,-0.984848231108039
10222,198605,199601,117,-0.9850187438082137,-0.9894626656578498
10223,201007,201402,44,-0.8084501377574783,-0.8221697423399201
10224,198605,199304,84,0.3975837571452516,0.05401108351371097
10225,192512,201404,1061,9714.985595797094,736.6988456011139
10226,197212,197309,10,-0.4444450271129164,-0.4788599369377802
10227,198605,198810,30,1.777836941371818,1.5097594994424255
10228,198605,199005,49,-0.9013160180633164,-0.9170504610036854
10229,198605,198802,22,1.849997981745159,1.668187765668312
10230,198605,200110,186,5.615736416568095,3.0431568645992995
10231,198605,199708,136,2.4676929183701994,1.3419866351679346
10232,198605,202204,432,26.802026329568307,9.443466164633847
10233,192512,198512,721,230.8760114044203,37.18635137492756
10234,197212,198306,127,0.02923655777658466,-0.5614107532690732
10235,198605,200107,183,-0.2668651679138158,-0.5514453928757199
10236,198605,199009,53,-0.48863696571557147,-0.5815069666670014
10237,198605,198808,28,-0.9354838224473879,-0.9411222110738346
10238,198605,200801,261,0.2867423254628155,-0.33803781835498814
10239,198605,202105,421,11.603526999180756,4.084578213232151
10240,198605,198804,24,-0.9494680557084376,-0.9531360448329319
10241,192512,198811,756,111.22775577707155,15.792182909287604
10242,198605,199807,147,8.004244483460493,4.991795042302756
10243,198605,199503,107,2.511070791531883,1.5185091675056963
10244,198605,200205,193,-0.9714286747119389,-0.9827427924010933
10245,198605,199210,78,-0.9047619424687406,-0.9270602746974982
10246,198605,199602,118,1.025795235288295,0.4202799390078027
10247,198605,199911,163,-0.9895938179831513,-0.9932851374508035
10248,198605,199601,117,0.3636374095550041,-0.04086125208760767
10249,198605,198809,29,-0.4871796034576943,-0.5351227457053891
10250,198605,199711,139,-0.9557970139372838,-0.9702758867714489
10251,198605,199210,78,-0.12263887089504617,-0.32805769660932316
10252,198605,202512,476,8.932108998601253,2.328541037136079
10253,198605,202512,476,-0.9999526621297512,-0.9999841356912459
10254,198605,198707,15,1.716668219361432,1.5925322374573936
10255,198605,198808,28,-0.40545351800276874,-0.45741388281597184
10256,198605,200106,182,-0.9192658977117563,-0.9507431263567232
10257,198605,202512,476,-0.8320688321065326,-0.9437213401679022
10258,198605,202512,476,-0.9694410210665574,-0.9897587898554813
10259,198605,201807,387,0.8980376941092016,-0.18205561145266544
10260,198605,199007,51,-0.9482759750296681,-0.956923089633604
10261,198605,199312,92,1.5813439825839253,0.9227294685090148
10262,198605,199011,55,-0.9770641884990418,-0.9813839377503433
10263,198605,199012,56,-0.9891968107306657,-0.9912314921177152
10264,198605,198902,34,-0.7142849605434756,-0.7448301539064266
10265,198605,199204,72,0.8306808969184618,0.42517523588060924
10266,198605,199407,99,3.6156337448997107,2.3777481448524846
10267,198605,199207,75,-0.1017458529597901,-0.305691100579596
10268,192512,197312,577,1.9339600473338487,0.14310131714306093
10269,198307,198408,14,-0.9038461978864867,-0.908446858274693
