analysis,horizon,horizon_months,window,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,missing_calendar_months,is_sparse_history,terminal_reason,included_in_summary,nominal_ret,real_ret,nominal_ret_skip_first_observed,real_ret_skip_first_observed,period_end_mthretflg,period_end_security_end_dt,period_end_security_active_flg,period_end_del_action_type,period_end_del_status_type,period_end_del_reason_type,period_end_del_payment_type,stock_terminal_mthretflg,stock_terminal_security_end_dt,stock_terminal_security_active_flg,stock_terminal_del_action_type,stock_terminal_del_status_type,stock_terminal_del_reason_type,stock_terminal_del_payment_type
stock_anchored,10y,120,,1,81498,199503,200502,199705,27,27,0,False,delisted,True,-0.9726561928422286,-0.9742274796995147,-0.9756943936375366,-0.9770151854885886,CR,1997-06-17,Y,GDR,VCL,DELQ,PRCF,CR,1997-06-17,Y,GDR,VCL,DELQ,PRCF
stock_anchored,10y,120,,1,81499,199503,200502,200502,120,120,0,False,complete,True,0.40199102095658135,0.10302630376615429,0.21081015200565045,-0.04423015112796869,CR,2010-09-14,Y,GDR,VCL,LP,PRCF,CR,2010-09-14,Y,GDR,VCL,LP,PRCF
stock_anchored,10y,120,,2,81499,200503,201502,201008,66,66,0,False,delisted,True,-0.6623369646602844,-0.7033430586584456,-0.6623369646602844,-0.7033430586584456,CR,2010-09-14,Y,GDR,VCL,LP,PRCF,CR,2010-09-14,Y,GDR,VCL,LP,PRCF
stock_anchored,10y,120,,1,81500,199503,200502,199802,36,36,0,False,delisted,True,1.1177829446408274,0.9738940478462084,1.19451413123962,1.0521892493494676,CR,1998-03-16,Y,GDR,VCL,FING,PRCF,CR,1998-03-16,Y,GDR,VCL,FING,PRCF
stock_anchored,10y,120,,1,81501,199503,200502,200502,120,120,0,False,complete,True,3.8661416786226734,2.8284712163929164,4.40682408735853,3.267951860407096,CR,2023-10-10,Y,MER,FPAY,UNAV,CASH,CR,2023-10-10,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,2,81501,200503,201502,201502,120,120,0,False,complete,True,0.9165274746343706,0.5660652586245498,0.9165274746343706,0.5660652586245498,CR,2023-10-10,Y,MER,FPAY,UNAV,CASH,CR,2023-10-10,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,3,81501,201503,202502,202309,103,103,0,False,delisted,True,1.3655545803249276,0.8039881288903377,1.3655545803249276,0.8039881288903377,CR,2023-10-10,Y,MER,FPAY,UNAV,CASH,CR,2023-10-10,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81502,199503,200502,200302,96,96,0,False,delisted,True,-0.9944465615280069,-0.9954231902489145,-0.9931844179697317,-0.9943643958526345,CR,2003-03-07,Y,GDR,VCL,LP,PRCF,CR,2003-03-07,Y,GDR,VCL,LP,PRCF
stock_anchored,10y,120,,1,81503,199503,200502,199910,56,56,0,False,delisted,True,3.661531572106372,3.182075589957507,3.661531572106372,3.1959326992681696,CR,1999-11-11,Y,MER,FPAY,UNAV,STK,CR,1999-11-11,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,1,81504,199503,200502,199807,41,41,0,False,delisted,True,-0.6315781126252746,-0.6593452034016785,-0.5916659048266508,-0.6211900612178609,CR,1998-08-28,Y,MER,FPAY,UNAV,CST,CR,1998-08-28,Y,MER,FPAY,UNAV,CST
stock_anchored,10y,120,,1,81505,199503,200502,199709,31,31,0,False,delisted,True,0.16666716527934367,0.09212205484276081,0.21739224808009738,0.14338204937547738,CR,1997-10-06,Y,MER,FPAY,UNAV,CASH,CR,1997-10-06,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81506,199503,200502,200107,77,77,0,False,delisted,True,2.0008802408363655,1.5511708638997623,1.8440399686833833,1.4258459225840254,CR,2001-08-27,Y,MER,FPAY,UNAV,CST,CR,2001-08-27,Y,MER,FPAY,UNAV,CST
stock_anchored,10y,120,,1,81507,199503,200502,199709,31,31,0,False,delisted,True,-0.8749996914615772,-0.8829866838805954,-0.8555552632199277,-0.8643366429993613,CR,1997-10-28,Y,GDR,VCL,INSC,PRCF,CR,1997-10-28,Y,GDR,VCL,INSC,PRCF
stock_anchored,10y,120,,1,81508,199503,200502,200408,114,114,0,False,delisted,True,1.778158373560843,1.2122643724028044,1.543365082595919,1.0320077757520951,CR,2004-09-02,Y,MER,FPAY,UNAV,CASH,CR,2004-09-02,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81509,199503,200502,200101,71,71,0,False,delisted,True,42.232301726651954,36.25730628527577,46.00987418667018,39.64702999350017,CR,2001-02-13,Y,MER,FPAY,UNAV,STK,CR,2001-02-13,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,1,81510,198402,199401,199401,120,120,0,False,complete,True,2.9096181171186766,1.724966389428138,2.490730461713104,1.4449439075199897,CR,2015-06-26,Y,MER,FPAY,UNAV,STK,CR,2015-06-26,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,2,81510,199402,200401,200401,120,120,0,False,complete,True,-0.9421939934813405,-0.9543669646164793,-0.9421939934813405,-0.9543669646164793,NT,2015-06-26,N,MER,FPAY,UNAV,STK,CR,2015-06-26,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,3,81510,200402,201401,201401,120,120,0,False,complete,True,-0.36099633800995834,-0.49407702679356835,-0.36099633800995834,-0.49407702679356835,CR,2015-06-26,Y,MER,FPAY,UNAV,STK,CR,2015-06-26,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,4,81510,201402,202401,201505,16,16,0,False,delisted,True,-0.3181820926646741,-0.32933236217804485,-0.3181820926646741,-0.32933236217804485,CR,2015-06-26,Y,MER,FPAY,UNAV,STK,CR,2015-06-26,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,1,81511,199503,200502,200407,113,113,0,False,delisted,True,-0.24886079949652862,-0.4015474902007725,-0.24886079949652862,-0.3995645461656523,CR,2004-08-06,Y,GLI,FPAY,UNAV,UNAV,CR,2004-08-06,Y,GLI,FPAY,UNAV,UNAV
stock_anchored,10y,120,,1,81512,199503,200502,199707,29,29,0,False,delisted,True,-0.742423721877041,-0.7578301534657037,-0.742423721877041,-0.7570277351537942,CR,1997-08-15,Y,GDR,VCL,INSF,PRCF,CR,1997-08-15,Y,GDR,VCL,INSF,PRCF
stock_anchored,10y,120,,1,81514,199503,200502,199712,34,34,0,False,delisted,True,0.17168557344527113,0.09613982041470259,0.013019386064194727,-0.049156013328461645,CR,1998-01-27,Y,MER,FPAY,UNAV,CASH,CR,1998-01-27,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81515,199503,200502,199603,13,13,0,False,delisted,True,0.001323527485808107,-0.02954579128061363,-0.16000083260911357,-0.18319926818895205,DE,1996-03-29,Y,MER,FPAY,UNAV,STK,DE,1996-03-29,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,1,81516,199503,200502,199602,12,12,0,False,delisted,True,0.5447168112398539,0.5048274165015751,0.28378495214622856,0.25477754522233087,CR,1996-03-04,Y,MER,FPAY,UNAV,CASH,CR,1996-03-04,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81517,199503,200502,199607,17,17,0,False,delisted,True,0.18749929691381007,0.14136078919932427,0.2527460705038629,0.20806213423111308,CR,1996-08-22,Y,MER,FPAY,UNAV,STK,CR,1996-08-22,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,1,81518,197212,198211,198211,120,120,0,False,complete,True,4.6419121622523924,1.4409905681581736,4.6419121622523924,1.4467476213849624,CR,1985-01-25,Y,GEX,FPAY,UNAV,UNAV,CR,1985-01-25,Y,GEX,FPAY,UNAV,UNAV
stock_anchored,10y,120,,2,81518,198212,199211,198412,25,25,0,False,delisted,True,1.1089216693695119,0.9627191224901439,1.1089216693695119,0.9627191224901439,CR,1985-01-25,Y,GEX,FPAY,UNAV,UNAV,CR,1985-01-25,Y,GEX,FPAY,UNAV,UNAV
stock_anchored,10y,120,,1,81519,199503,200502,200008,66,66,0,False,delisted,True,1.0999963070830896,0.8338509417756865,0.9478226616422845,0.7065992533139027,DE,2000-08-31,Y,MER,FPAY,UNAV,CASH,DE,2000-08-31,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81520,199503,200502,199703,25,25,0,False,delisted,True,0.13928774468061356,0.07449075420190399,0.13928774468061356,0.07805102840403078,CR,1997-04-24,Y,MER,FPAY,UNAV,CASH,CR,1997-04-24,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81521,199504,200503,200503,120,120,0,False,complete,True,2.440658600939834,1.6948562451230775,2.420538990597143,1.687945538912083,CR,2019-08-21,Y,MER,FPAY,UNAV,CASH,CR,2019-08-21,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,2,81521,200504,201503,201503,120,120,0,False,complete,True,2.440438634365929,1.8165322910182278,2.440438634365929,1.8165322910182278,CR,2019-08-21,Y,MER,FPAY,UNAV,CASH,CR,2019-08-21,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,3,81521,201504,202503,201907,52,52,0,False,delisted,True,0.03793889580264764,-0.04479814890215428,0.03793889580264764,-0.04479814890215428,CR,2019-08-21,Y,MER,FPAY,UNAV,CASH,CR,2019-08-21,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81522,199504,200503,200103,72,72,0,False,delisted,True,-0.9877805637261006,-0.9895004389791806,-0.9876462787764,-0.9893499985592235,CR,2001-04-04,Y,GDR,VCL,FING,PRCF,CR,2001-04-04,Y,GDR,VCL,FING,PRCF
stock_anchored,10y,120,,1,81523,199504,200503,200003,60,60,0,False,delisted,True,0.23004272313770002,0.08778310912995302,0.40106514058881393,0.24311796060421131,CR,2000-04-19,Y,MER,FPAY,UNAV,CASH,CR,2000-04-19,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81524,199504,200503,199702,23,23,0,False,delisted,True,2.281089935324951,2.112512632883445,2.114256120683799,1.9640069218788794,DE,1997-02-28,Y,MER,FPAY,UNAV,STK,DE,1997-02-28,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,1,81525,199504,200503,199709,30,30,0,False,delisted,True,-0.3970571364810406,-0.43371247185626216,-0.3643390307318387,-0.40101177895884743,CR,1997-10-28,Y,MER,FPAY,UNAV,CASH,CR,1997-10-28,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81526,197212,198211,197612,49,49,0,False,delisted,True,0.5465845135559215,0.12672136382768073,0.7785726352324684,0.29878585906150956,CR,1977-01-20,Y,MER,FPAY,UNAV,CASH,CR,1977-01-20,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81527,199504,200503,200503,120,120,0,False,complete,True,-0.20669899710294637,-0.3786561208555922,-0.0933702824033682,-0.2875475731871254,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
