horizon,horizon_months,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,terminal_reason,included_in_summary,nominal_ret,real_ret
30y,360,1,92335,200710,203709,200909,24,24,delisted,True,0.07534031159879584,0.038151100242853175
30y,360,1,92338,200710,203709,201104,43,43,delisted,True,-0.30370310282671,-0.3544951977242453
30y,360,1,92339,200711,203710,200909,23,23,delisted,True,0.36554460504425945,0.32084821429809796
30y,360,1,92340,198504,201503,200811,284,284,delisted,True,-0.9760876306490571,-0.9880227087257134
30y,360,1,92341,200710,203709,201410,85,85,delisted,True,-0.9338299000490364,-0.9418932252897622
30y,360,1,92343,200710,203709,200909,24,24,delisted,True,0.13253071637377634,0.09336365109776046
30y,360,1,92344,200710,203709,201406,81,81,delisted,True,-0.8354409776774399,-0.8560454632430834
30y,360,1,92345,200710,203709,202512,219,219,sample_end,False,-0.9999173300997309,-0.9999468092533772
30y,360,1,92346,200711,203710,201206,56,56,delisted,True,-0.9349332021364809,-0.9407679425753704
30y,360,1,92354,200710,203709,202209,180,180,delisted,True,-0.11164338062230339,-0.37595228181096885
30y,360,1,92355,200710,203709,202512,219,219,sample_end,False,-0.8643130248790555,-0.9126974692097092
30y,360,1,92356,198501,201412,198612,24,24,delisted,True,-0.7058823761710484,-0.719723205527705
30y,360,1,92364,198508,201507,199206,83,83,delisted,True,-0.9845678994209817,-0.9881342336489431
30y,360,1,92372,198505,201504,199206,86,86,delisted,True,-0.8749997590127891,-0.9046895452101793
30y,360,1,92374,200710,203709,200909,24,24,delisted,True,0.07301089875736722,0.03590224703967282
30y,360,1,92375,200710,203709,201701,112,112,delisted,True,-0.876540310859549,-0.8939983067555703
30y,360,1,92376,200710,203709,200910,25,25,delisted,True,-0.7460325293846153,-0.7550515659699796
30y,360,1,92378,200711,203710,201505,91,91,delisted,True,0.5621390736416965,0.37226236825865744
30y,360,1,92379,200710,203709,202402,197,197,delisted,True,4.258509218347712,2.533056115264262
30y,360,1,92380,200710,203709,202512,219,219,sample_end,False,-0.9999922916585453,-0.9999950403661325
30y,360,1,92381,200711,203710,201009,35,35,delisted,True,1.0272581911748948,0.9387299710053394
30y,360,1,92384,200711,203710,201610,108,108,delisted,True,-0.931177653812052,-0.9405243552959623
30y,360,1,92386,200711,203710,201607,105,105,delisted,True,-0.6947811255044735,-0.7350466746640706
30y,360,1,92388,200711,203710,201410,84,84,delisted,True,1.9644937196240164,1.6082420642010882
30y,360,1,92389,200711,203710,201304,66,66,delisted,True,-0.8138750919082578,-0.8327900654090641
30y,360,1,92393,200711,203710,201406,80,80,delisted,True,0.3105449528696498,0.1486506448877023
30y,360,1,92394,200711,203710,201203,53,53,delisted,True,-0.5430561847041148,-0.5838757976942945
30y,360,1,92395,200711,203710,201512,98,98,delisted,True,-0.992936610787575,-0.9937615812008219
30y,360,1,92399,198412,201411,201104,317,317,delisted,True,0.23403851518098917,-0.4222285948415856
30y,360,1,92400,200711,203710,202407,201,201,delisted,True,-0.9181456226820843,-0.9456368683737758
30y,360,1,92401,198506,201505,199808,159,159,delisted,True,-0.9449999178007599,-0.9638830549572921
30y,360,1,92402,200711,203710,202512,218,218,sample_end,False,25.04393826414437,15.789111393100395
30y,360,1,92404,200711,203710,200911,25,25,delisted,True,-0.28744770228766003,-0.3119207923445305
30y,360,1,92405,200711,203710,202310,192,192,delisted,True,-0.891337155493866,-0.926220969095783
30y,360,1,92419,200711,203710,200909,23,23,delisted,True,0.06607762377066373,0.031183251326308614
