analysis,horizon,horizon_months,window,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,missing_calendar_months,is_sparse_history,terminal_reason,included_in_summary,no_post_start_obs,nominal_ret,real_ret,nominal_ret_skip_first_observed,real_ret_skip_first_observed,period_end_mthretflg,period_end_security_end_dt,period_end_security_active_flg,period_end_del_action_type,period_end_del_status_type,period_end_del_reason_type,period_end_del_payment_type,stock_terminal_mthretflg,stock_terminal_security_end_dt,stock_terminal_security_active_flg,stock_terminal_del_action_type,stock_terminal_del_status_type,stock_terminal_del_reason_type,stock_terminal_del_payment_type
calendar_window,10y,120,2015-2025,1,14107,201512,202512,202512,120,120,0,False,complete,True,False,-0.9999999968179667,-0.9999999976774536,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14127,201512,202512,202408,104,104,0,False,delisted,True,False,-0.8592608985596539,-0.8942543235359475,,,CR,2024-09-16,Y,GDR,VCL,CORQ,PRCF,CR,2024-09-16,Y,GDR,VCL,CORQ,PRCF
calendar_window,10y,120,2015-2025,1,14131,201512,202512,201708,20,20,0,False,delisted,True,False,-0.017858593604106576,-0.05383698961062511,,,CR,2017-09-18,Y,MER,FPAY,UNAV,CASH,CR,2017-09-18,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,14132,201512,202512,202512,120,120,0,False,complete,True,False,-0.48251773387120667,-0.6222929110700286,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14133,201512,202512,202512,120,120,0,False,complete,True,False,-0.9521185226531341,-0.9650516073572076,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14134,201512,202512,202304,88,88,0,False,delisted,True,False,0.9050076748095144,0.48528970337292576,,,CR,2023-05-25,Y,MER,FPAY,UNAV,CASH,CR,2023-05-25,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,14135,201512,202512,202512,120,120,0,False,complete,True,False,-0.8069310245894602,-0.8590801551316202,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14136,201512,202512,202512,120,120,0,False,complete,True,False,0.22476624073681228,-0.10605073509268703,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14137,201512,202512,202512,120,120,0,False,complete,True,False,-0.876594832705645,-0.9099273355851268,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14140,201512,202512,202110,70,70,0,False,delisted,True,False,3.3461277142301338,2.716589805119809,,,CR,2021-11-08,Y,GEX,FPAY,UNAV,USTK,CR,2021-11-08,Y,GEX,FPAY,UNAV,USTK
calendar_window,10y,120,2015-2025,1,14141,201512,202512,202512,120,120,0,False,complete,True,False,1.5889194406720306,0.8896362047836222,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14143,201512,202512,201609,9,9,0,False,delisted,True,False,-0.7972445817870877,-0.8013622061533496,,,CR,2016-10-27,Y,GDR,VCL,INSF,PRCF,CR,2016-10-27,Y,GDR,VCL,INSF,PRCF
calendar_window,10y,120,2015-2025,1,14144,201512,202512,202512,120,120,0,False,complete,True,False,0.9011407135755174,0.38763078770343706,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14145,201512,202512,202512,120,120,0,False,complete,True,False,1.0314654822878677,0.48275402617507424,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14148,201512,202512,201607,7,7,0,False,delisted,True,False,-0.6572047088125529,-0.6630763888678814,,,DE,2016-07-29,Y,GDR,VCL,LP,PRCF,DE,2016-07-29,Y,GDR,VCL,LP,PRCF
calendar_window,10y,120,2015-2025,1,14149,201512,202512,202212,84,84,0,False,delisted,True,False,-0.7125595984973419,-0.7709315088581886,,,CR,2023-01-23,Y,MER,FPAY,UNAV,CASH,CR,2023-01-23,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,14150,201512,202512,201706,18,18,0,False,delisted,True,False,-0.02000007759584088,-0.053726269532592186,,,CR,2017-07-26,Y,MER,FPAY,UNAV,CASH,CR,2017-07-26,Y,MER,FPAY,UNAV,CASH
